id,key,value,type
28211431,name,Panchsheel Marg,regular
28211431,hi,पंचशील मार्ग,name
28616711,highway,tertiary,regular
28616711,name,Akbar Road,regular
28616711,hi,अकबर रोड,name
28616711,oneway,yes,regular
28773610,highway,residential,regular
28773610,surface,asphalt,regular
28773611,highway,tertiary,regular
28773612,highway,tertiary,regular
28773613,AND:importance_level,5,regular
28773613,AND_a_nosr_r,15056587,regular
28773613,highway,tertiary,regular
28773613,oneway,yes,regular
28773628,highway,secondary,regular
28773628,name,Cariappa Marg,regular
28773628,oneway,yes,regular
28773633,highway,tertiary,regular
28773634,bridge,yes,regular
28773634,highway,secondary,regular
28773634,layer,1,regular
28773634,oneway,yes,regular
28773640,highway,tertiary,regular
28773641,highway,secondary,regular
28773641,oneway,yes,regular
28773642,bridge,yes,regular
28773642,highway,secondary,regular
28773642,layer,1,regular
28773642,oneway,yes,regular
31056641,highway,secondary,regular
31056641,name,Shaheed Baghat Singh Marg,regular
31056641,hi,शहीद भगत सिंह मार्ग,name
31056641,oneway,yes,regular
31056642,highway,secondary,regular
31056643,highway,tertiary,regular
31056643,name,Peshwa Road,regular
31056643,oneway,yes,regular
31056644,highway,tertiary,regular
31056644,name,Peshwa Road,regular
31056644,oneway,yes,regular
31056645,highway,tertiary,regular
31056645,name,Mandir Marg,regular
31056645,old_name,Reading Road,regular
31056645,oneway,yes,regular
31056646,highway,tertiary,regular
31056646,name,Mandir Marg,regular
31056646,old_name,Reading Road,regular
31056646,oneway,yes,regular
31056828,highway,residential,regular
31056831,highway,tertiary,regular
31056831,name,Dr K S Krishnan Road,regular
31056831,oneway,yes,regular
31058500,highway,secondary,regular
31058500,name,Pusa Road,regular
31058500,oneway,yes,regular
31058505,highway,secondary,regular
31058505,oneway,yes,regular
31058508,highway,secondary,regular
31058508,motorroad,no,regular
31058508,name,Panchkuian Road,regular
31058508,oneway,yes,regular
31058510,highway,secondary,regular
31058510,motorroad,no,regular
31058510,name,Panchkuian Road,regular
31058510,oneway,yes,regular
31060395,highway,secondary,regular
31060395,motorroad,no,regular
31060395,oneway,yes,regular
31430055,bicycle,yes,regular
31430055,cycleway,no,regular
31430055,highway,tertiary,regular
31430055,horse,yes,regular
31430055,lanes,2,regular
31430055,maxspeed,50,regular
31430055,name,Road No. 30,regular
31430055,oneway,yes,regular
31756488,highway,secondary,regular
31756488,oneway,yes,regular
31756489,highway,secondary,regular
31756489,oneway,yes,regular
32905262,highway,tertiary,regular
32905262,name,Tees Jan. Road,regular
32905262,oneway,yes,regular
32905321,highway,residential,regular
32905321,name,Tees January Lane,regular
32905324,highway,residential,regular
32905324,name,Tees January Lane,regular
32905331,highway,residential,regular
34404739,highway,secondary,regular
34404739,name,Park Street,regular
34404739,oneway,yes,regular
34404740,highway,tertiary,regular
34404746,bridge,yes,regular
34404746,covered,yes,regular
34404746,highway,footway,regular
34404746,layer,1,regular
34404746,wheelchair,no,regular
34404747,bridge,yes,regular
34404747,covered,yes,regular
34404747,highway,steps,regular
34404747,layer,1,regular
34404747,wheelchair,no,regular
34404748,bridge,yes,regular
34404748,covered,yes,regular
34404748,highway,steps,regular
34404748,layer,1,regular
34404748,wheelchair,no,regular
34404751,bridge,yes,regular
34404751,covered,yes,regular
34404751,highway,steps,regular
34404751,layer,1,regular
34404751,wheelchair,no,regular
34404752,bridge,yes,regular
34404752,covered,yes,regular
34404752,highway,steps,regular
34404752,layer,1,regular
34404752,wheelchair,no,regular
34404755,bridge,yes,regular
34404755,covered,yes,regular
34404755,highway,steps,regular
34404755,layer,1,regular
34404755,wheelchair,no,regular
34404757,alt_name,Wellingdon Hospital,regular
34404757,amenity,hospital,regular
34404757,barrier,wall,regular
34404757,name,Ram Manohar Lohia Hospital,regular
34404758,highway,secondary,regular
34404758,name,Sardar Patel Marg,regular
34404758,hi,सरदार पटेल मार्ग,name
34404758,oneway,yes,regular
34940731,area,yes,regular
34940731,name,6-7,regular
34940731,railway,platform,regular
34940731,ref,6;7,regular
34940733,area,yes,regular
34940733,name,4-5,regular
34940733,railway,platform,regular
34940733,ref,4;5,regular
34940743,area,yes,regular
34940743,name,8-9,regular
34940743,railway,platform,regular
34940743,ref,8;9,regular
34940744,area,yes,regular
34940744,name,12-13,regular
34940744,railway,platform,regular
34940744,ref,12,regular
34940745,area,yes,regular
34940745,name,10-11,regular
34940745,railway,platform,regular
34940745,ref,10;11,regular
34940853,highway,secondary,regular
34940853,name,Desh Bandhu Gupta Road,regular
34940853,oneway,yes,regular
34940854,electrified,contact_line,regular
34940854,frequency,50,regular
34940854,gauge,1676,regular
34940854,passenger_lines,4,regular
34940854,railway,rail,regular
34940854,voltage,25000,regular
34940855,bridge,yes,regular
